objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
gfvm001,,uSXcOCvv7F8,,Scene di famiglia ,Grammaroli Giorgio,1960s,"Family scenes from the Fiumicino house of Giorgio Grammaroli and from the beach of Fiumicino. It is possible to recognize Giorgio, Claudio, Marina and Simonetta Grammaroli. There are several other unrecognized people between relatives and neighbors",Family; Social Life and Customs; Rome,Fiumicino (IT),,,Super8,,,video/mp4,IT,,,,,,,,,,,
gfvm002,,,,Scene di famiglia II,Grammaroli Giorgio,1960s,"Family scenes from the Fiumicino house of Giorgio Grammaroli and from the beach of Fiumicino. It is possible to recognize Giorgio, Claudio, Marina and Simonetta Grammaroli. There are several other unrecognized people between relatives and neighbors",Family; Social Life and Customs; Rome,Fiumicino (IT),,,Super8,,,video/mp4,IT,,,,,,,,,,,
gfvm003,,,,Scene di famiglia III,Grammaroli Giorgio,1970s,"Family scenes from the Fiumicino house of Giorgio Grammaroli and in the neighborhood. It is possible to recognize Giorgio, Claudio, Marina and Simonetta Grammaroli.",Family; Social Life and Customs; Rome,Fiumicino (IT),,,Super8,,,video/mp4,IT,,,,,,,,,,,
gfvm004,,,,Scene di famiglia IV,Grammaroli Giorgio,1970s,"Family scenes from Ostia Lido. It is possible to recognize Claudio, Marina and Simonetta Grammaroli.",Family; Social Life and Customs; Rome,Ostia (IT),,,Super8,,,video/mp4,IT,,,,,,,,,,,
gfvm005,,,,Scene di famiglia V,Grammaroli Giorgio,1970s,"Family scenes from Ostia Lido. It is possible to recognize Claudio, Marina and Simonetta Grammaroli.",Family; Social Life and Customs; Rome,Ostia (IT),,,Super8,,,video/mp4,IT,,,,,,,,,,,
